1,1993-94,1993-08-14,Arsenal,Coventry,0,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1993-94,1993-08-14,Aston Villa,QPR,4,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1993-94,1993-08-14,Chelsea,Blackburn,1,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1993-94,1993-08-14,Liverpool,Sheffield Weds,2,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1993-94,1993-08-14,Man City,Leeds,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1993-94,1993-08-14,Newcastle,Tottenham,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1993-94,1993-08-14,Oldham,Ipswich,0,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1993-94,1993-08-14,Sheffield United,Swindon,3,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1993-94,1993-08-14,Southampton,Everton,0,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1993-94,1993-08-14,West Ham,Wimbledon,0,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1993-94,1993-08-15,Norwich,Man United,0,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1993-94,1993-08-16,Tottenham,Arsenal,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1993-94,1993-08-17,Everton,Man City,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1993-94,1993-08-17,Ipswich,Southampton,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1993-94,1993-08-17,Leeds,West Ham,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1993-94,1993-08-17,Wimbledon,Chelsea,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1993-94,1993-08-18,Blackburn,Norwich,2,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1993-94,1993-08-18,Coventry,Newcastle,2,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1993-94,1993-08-18,Man United,Sheffield United,3,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1993-94,1993-08-18,QPR,Liverpool,1,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1993-94,1993-08-18,Sheffield Weds,Aston Villa,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1993-94,1993-08-18,Swindon,Oldham,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1993-94,1993-08-21,Blackburn,Oldham,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1993-94,1993-08-21,Coventry,West Ham,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1993-94,1993-08-21,Everton,Sheffield United,4,2,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1993-94,1993-08-21,Ipswich,Chelsea,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1993-94,1993-08-21,Leeds,Norwich,0,4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1993-94,1993-08-21,Man United,Newcastle,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1993-94,1993-08-21,QPR,Southampton,2,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1993-94,1993-08-21,Sheffield Weds,Arsenal,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1993-94,1993-08-21,Tottenham,Man City,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1993-94,1993-08-21,Wimbledon,Aston Villa,2,2,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1993-94,1993-08-22,Swindon,Liverpool,0,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1993-94,1993-08-23,Aston Villa,Man United,1,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1993-94,1993-08-24,Arsenal,Leeds,2,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1993-94,1993-08-24,Man City,Blackburn,0,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1993-94,1993-08-24,Oldham,Coventry,3,3,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1993-94,1993-08-24,Sheffield United,Wimbledon,2,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1993-94,1993-08-25,Chelsea,QPR,2,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1993-94,1993-08-25,Liverpool,Tottenham,1,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1993-94,1993-08-25,Newcastle,Everton,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1993-94,1993-08-25,Norwich,Ipswich,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1993-94,1993-08-25,Southampton,Swindon,5,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1993-94,1993-08-25,West Ham,Sheffield Weds,2,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1993-94,1993-08-27,Man City,Coventry,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1993-94,1993-08-28,Arsenal,Everton,2,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1993-94,1993-08-28,Aston Villa,Tottenham,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1993-94,1993-08-28,Chelsea,Sheffield Weds,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,1993-94,1993-08-28,Liverpool,Leeds,2,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,1993-94,1993-08-28,Norwich,Swindon,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1993-94,1993-08-28,Oldham,Wimbledon,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1993-94,1993-08-28,Sheffield United,Ipswich,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1993-94,1993-08-28,Southampton,Man United,1,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1993-94,1993-08-28,West Ham,QPR,0,4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1993-94,1993-08-29,Newcastle,Blackburn,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1993-94,1993-08-30,Leeds,Oldham,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1993-94,1993-08-31,Everton,Aston Villa,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1993-94,1993-08-31,Ipswich,Newcastle,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1993-94,1993-08-31,Wimbledon,Southampton,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
